assessment_id,criterion_id,criterion_title,service,service_profile,region,cluster,sku,applicability,state,core_controls,implementation_summary,evidence_ids,verification_method,validator,verification_result,last_verified_at,valid_until,limitations,remediation_owner,target_date
ASSESS-CMX-SEC-PUB-001,CMX-SEC-PUB-001,Independent SOC assurance,,,,,,UNKNOWN,PROPOSED,NCS-GOV-02;NCS-GOV-04;NCS-GOV-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-002,CMX-SEC-PUB-002,ISO/IEC 27001 certification with verified scope and validity,,,,,,UNKNOWN,PROPOSED,NCS-GOV-04;NCS-GOV-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-003,CMX-SEC-PUB-003,"Applicable privacy, payment, health and government compliance capability",,,,,,UNKNOWN,PROPOSED,NCS-GOV-02;NCS-GOV-04;NCS-DAT-01;NCS-DAT-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-004,CMX-SEC-PUB-004,Security prerequisites for government and sovereign customers,,,,,,UNKNOWN,PROPOSED,NCS-GOV-04;NCS-CMP-05;NCS-KMS-04;NCS-DAT-02;NCS-RES-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-005,CMX-SEC-PUB-005,Documented penetration testing scope and coverage,,,,,,UNKNOWN,PROPOSED,NCS-GOV-05;NCS-VEM-05;NCS-ENG-01,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-006,CMX-SEC-PUB-006,Independent assurance explicitly covers InfiniBand and RoCEv2 fabric,,,,,,UNKNOWN,PROPOSED,NCS-GOV-05;NCS-NET-03;NCS-NET-05;NCS-VEM-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-007,CMX-SEC-PUB-007,Qualified high-speed Ethernet and InfiniBand security expertise,,,,,,UNKNOWN,PROPOSED,NCS-GOV-05;NCS-NET-03;NCS-VEM-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-008,CMX-SEC-PUB-008,Per-tenant RoCE VLAN or equivalent enforced network isolation,,,,,,UNKNOWN,PROPOSED,NCS-NET-01;NCS-NET-02;NCS-NET-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-009,CMX-SEC-PUB-009,Per-tenant InfiniBand P_Key lifecycle and enforcement,,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-NET-05;NCS-ASM-05,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
ASSESS-CMX-SEC-PUB-010,CMX-SEC-PUB-010,"InfiniBand management-key lifecycle for M_Key, SM_Key, SA_Key, C_Key, CC_Key and VS_Key",,,,,,UNKNOWN,PROPOSED,NCS-NET-03;NCS-KMS-01;NCS-KMS-02;NCS-KMS-03;NCS-TEL-02,,,,,NOT_TESTED,,,Unassessed template; set exact scope and collect evidence in a private system.,,
