assessment_id,finding_id,category,severity,service,service_profile,region,cluster,sku,hardware,firmware_driver_orchestrator_versions,applicability,state,core_controls,tenant_blackbox_result,provider_whitebox_result,independent_failure_recovery_result,evidence_ids,validator,last_verified_at,valid_until,exception_or_risk_decision,remediation_owner,target_date,notes
SA-ASSESS-001,SA-NC-001,architecture,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-ENG-01;NCS-CMP-01;NCS-NET-02;NCS-VEM-05;NCS-IRR-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-002,SA-NC-002,compute,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-CMP-01;NCS-CMP-03;NCS-ORC-02;NCS-ORC-04;NCS-VEM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-003,SA-NC-003,compute,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-CMP-01;NCS-CMP-03;NCS-CMP-05;NCS-NET-02;NCS-TEL-01,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-004,SA-NC-004,network,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-01;NCS-NET-02;NCS-NET-05;NCS-ASM-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-005,SA-NC-005,orchestration,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-ORC-01;NCS-ORC-02;NCS-ORC-04;NCS-IAM-02;NCS-CMP-01,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-006,SA-NC-006,orchestration,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-ORC-02;NCS-ORC-04;NCS-CMP-01;NCS-VEM-03,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-007,SA-NC-007,orchestration,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-ORC-01;NCS-ORC-04;NCS-API-02;NCS-NET-01;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-008,SA-NC-008,network,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-NET-01;NCS-NET-02;NCS-ORC-02;NCS-ORC-04;NCS-NET-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-009,SA-NC-009,lifecycle,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-CMP-04;NCS-PHY-04;NCS-DAT-04;NCS-RES-05,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
SA-ASSESS-010,SA-NC-010,storage,critical,,,,,,,,UNKNOWN,PROPOSED,NCS-DAT-02;NCS-NET-02;NCS-API-01;NCS-ASM-05;NCS-TEL-02,NOT_TESTED,NOT_TESTED,NOT_TESTED,,,,,,,,Scope this row to a concrete service/region/SKU/version before assessment.
