capability,provider_responsibility,customer_responsibility,shared_activity,default_owner,evidence,escalation_path
Physical facility,Secure facility power cooling access and monitoring,None for a public cloud service unless contractually stated,Customer reviews scoped assurance,provider,facility audit and access logs,provider security
Hardware firmware and BMC/OOB,Secure supply provisioning firmware BMC/OOB access and sanitization,None unless customer-managed colocation is explicitly in scope,Customer validates dedicated-host commitments,provider,firmware inventory access events attestation and sanitization records,platform security
Provider control plane and API,Secure design authentication authorization rate limits audit availability and recovery,Protect tenant credentials and configure tenant-visible access,Review privileged integrations and incidents,provider,API policy desired-actual state and audit logs,product security
Tenant identity and authorization configuration,Provide federation phishing-resistant MFA options RBAC safe defaults and audit,Manage users groups role assignments access reviews and tenant break-glass,Test federation lifecycle and revocation,shared,IdP policy and access-review exports,identity team
Customer-managed guest operating system,Provide approved images and secure provisioning boundary,Patch harden monitor and recover the guest OS,Agree any managed-service boundary,customer,image provenance configuration and scan reports,service owner
Managed Kubernetes provider control plane,Patch harden isolate authorize audit back up and recover API server etcd controllers and provider plugins,Protect tenant credentials and use exposed controls correctly,Review customer-impacting policy and incidents,provider,cluster configuration policy audit restore and negative-test evidence,platform security
Kubernetes tenant workloads and namespace configuration,Provide safe defaults admission guardrails quotas network-policy capability and telemetry interfaces,Secure workloads images service accounts secrets RBAC and application policy within granted scope,Coordinate workload incident response,customer,workload policy image provenance and runtime evidence,tenant service owner
Managed Slurm provider control plane,Secure controller database REST authentication accounting scheduler policy plugins backup and recovery,Protect tenant credentials and submit jobs through exposed controls,Review customer-impacting queue and incident policy,provider,Slurm configuration authentication accounting restore and negative-test evidence,HPC platform
Slurm tenant jobs data and requested placement,Provide account association partition QOS quota MCS and placement controls,Secure job code data modules containers secrets and requested placement,Coordinate exception and incident handling,customer,job submission account association and data-access evidence,tenant service owner
GPU and accelerator isolation,Declare and enforce the isolation SKU select safe sharing modes assign and reset devices and validate tenant separation,Select a service tier suitable for data sensitivity and use supported interfaces,Review precise dedication and residual-sharing statements,provider,allocation topology reset quarantine cleanup and negative-test evidence,compute platform
Provider Ethernet storage network InfiniBand/RDMA and DPU fabric,Own and enforce tenant isolation across Ethernet storage management P_Key RDMA DPU/NIC and OOB paths,None for provider-exclusive controllers; use tenant-visible network controls correctly,Approve intended tenant interconnects and validate contractual claims,provider,topology controller state VRF/VXLAN/P_Key/DPU configuration and deployed-path tests,network security
Tenant network policy and egress,Provide enforceable security-group network-policy egress DNS and logging controls,Configure allowed paths destinations protocols and application egress,Coordinate exceptions abuse and incident containment,shared,policy decisions flow tests and egress audit,network security
Data and model protection,Protect provider-managed storage keys snapshots deletion and support paths,Classify data control application access and avoid prohibited uploads,Define retention residency export deletion and evidence,shared,KMS storage access lineage and deletion evidence,data protection
Software model and infrastructure supply chain,Secure provider builds images operators drivers firmware and hosted model services,Assess customer code images models packages and dependencies,Exchange provenance inventory vulnerability and recall notices,shared,BOM provenance signatures where required scans admission and VEX,product security
Logging detection and evidence,Collect protect and monitor provider control-plane infrastructure root and support evidence,Enable and monitor tenant workload logs where customer-managed,Coordinate alert routing investigation retention and evidence exchange,shared,coverage freshness integrity replay and alert-test evidence,SecOps
Incident response,Contain provider infrastructure preserve evidence and make required provider notifications,Contain customer workloads rotate tenant credentials and provide context,Joint scoping communication recovery and lessons learned,shared,incident timeline decisions evidence and independent closure,incident commander
Backup and recovery,Back up and test provider-managed control planes and contracted data,Back up customer-managed data and workloads unless contracted otherwise,Agree RPO RTO integrity isolation restore and export responsibilities,shared,restore rebuild and disaster-recovery tests,SRE
Agent platform guardrails,Provide agent identity policy mediation typed tool boundaries revocation trace stop and recovery controls proportional to impact,Use only approved interfaces and protect tenant credentials,Validate platform claims and high-impact integrations,provider,platform policy tool and verifier test evidence,AI security
Customer agent use case tools data and approvals,Provide safe defaults and enforce the platform boundary,Configure goals delegated scope tools data sources approvals budgets and business constraints,Test high-impact workflows and escalation,customer,delegation grants action traces approvals and outcome evidence,tenant service owner
